change_ms,change_s,from,to,segment_index,block_ms,source_pos_ms
4988,4.988,B,A,163,19,2594
5007,5.007,A,B,164,19,2594
5026,5.026,B,A,165,50,2613
5076,5.076,A,B,166,50,2613
5126,5.126,B,A,167,34,2663
5160,5.16,A,B,168,34,2663
5194,5.194,B,A,169,27,2697
5221,5.221,A,B,170,27,2697
5248,5.248,B,A,171,15,2724
5263,5.263,A,B,172,15,2724
5278,5.278,B,A,173,36,2739
5314,5.314,A,B,174,36,2739
5350,5.35,B,A,175,15,2775
5365,5.365,A,B,176,15,2775
5380,5.38,B,A,177,11,2790
5391,5.391,A,B,178,11,2790
5402,5.402,B,A,179,33,2801
5435,5.435,A,B,180,33,2801
5468,5.468,B,A,181,17,2834
5485,5.485,A,B,182,17,2834
5502,5.502,B,A,183,38,2851
5540,5.54,A,B,184,38,2851
5578,5.578,B,A,185,42,2889
5620,5.62,A,B,186,42,2889
5662,5.662,B,A,187,47,2931
5709,5.709,A,B,188,47,2931
5756,5.756,B,A,189,35,2978
5791,5.791,A,B,190,35,2978
5826,5.826,B,A,191,21,3013
5847,5.847,A,B,192,21,3013
5868,5.868,B,A,193,22,3034
5890,5.89,A,B,194,22,3034
5912,5.912,B,A,195,17,3056
5929,5.929,A,B,196,17,3056
5946,5.946,B,A,197,25,3073
5971,5.971,A,B,198,25,3073
5996,5.996,B,A,199,44,3098
6040,6.04,A,B,200,44,3098
6084,6.084,B,A,201,37,3142
6121,6.121,A,B,202,37,3142
6158,6.158,B,A,203,45,3179
6203,6.203,A,B,204,45,3179
6248,6.248,B,A,205,18,3224
6266,6.266,A,B,206,18,3224
6284,6.284,B,A,207,15,3242
6299,6.299,A,B,208,15,3242
6314,6.314,B,A,209,30,3257
6344,6.344,A,B,210,30,3257
6374,6.374,B,A,211,50,3287
6424,6.424,A,B,212,50,3287
6474,6.474,B,A,213,42,3337
6516,6.516,A,B,214,42,3337
6558,6.558,B,A,215,20,3379
6578,6.578,A,B,216,20,3379
6598,6.598,B,A,217,28,3399
6626,6.626,A,B,218,28,3399
6654,6.654,B,A,219,47,3427
6701,6.701,A,B,220,47,3427
6748,6.748,B,A,221,18,3474
6766,6.766,A,B,222,18,3474
6784,6.784,B,A,223,12,3492
6796,6.796,A,B,224,12,3492
6808,6.808,B,A,225,29,3504
6837,6.837,A,B,226,29,3504
6866,6.866,B,A,227,21,3533
6887,6.887,A,B,228,21,3533
6908,6.908,B,A,229,34,3554
6942,6.942,A,B,230,34,3554
6976,6.976,B,A,231,35,3588
7011,7.011,A,B,232,35,3588
7046,7.046,B,A,233,21,3623
7067,7.067,A,B,234,21,3623
7088,7.088,B,A,235,11,3644
7099,7.099,A,B,236,11,3644
7110,7.11,B,A,237,46,3655
7156,7.156,A,B,238,46,3655
7202,7.202,B,A,239,20,3701
7222,7.222,A,B,240,20,3701
7242,7.242,B,A,241,40,3721
7282,7.282,A,B,242,40,3721
7322,7.322,B,A,243,38,3761
7360,7.36,A,B,244,38,3761
7398,7.398,B,A,245,33,3799
7431,7.431,A,B,246,33,3799
7464,7.464,B,A,247,37,3832
7501,7.501,A,B,248,37,3832
7538,7.538,B,A,249,38,3869
7576,7.576,A,B,250,38,3869
7614,7.614,B,A,251,44,3907
7658,7.658,A,B,252,44,3907
7702,7.702,B,A,253,10,3951
7712,7.712,A,B,254,10,3951
7722,7.722,B,A,255,24,3961
7746,7.746,A,B,256,24,3961
7770,7.77,B,A,257,39,3985
7809,7.809,A,B,258,39,3985
7848,7.848,B,A,259,17,4024
7865,7.865,A,B,260,17,4024
7882,7.882,B,A,261,16,4041
7898,7.898,A,B,262,16,4041
7914,7.914,B,A,263,45,4057
7959,7.959,A,B,264,45,4057
8004,8.004,B,A,265,47,4102
8051,8.051,A,B,266,47,4102
8098,8.098,B,A,267,35,4149
8133,8.133,A,B,268,35,4149
8168,8.168,B,A,269,50,4184
8218,8.218,A,B,270,50,4184
8268,8.268,B,A,271,25,4234
8293,8.293,A,B,272,25,4234
8318,8.318,B,A,273,13,4259
8331,8.331,A,B,274,13,4259
8344,8.344,B,A,275,11,4272
8355,8.355,A,B,276,11,4272
8366,8.366,B,A,277,32,4283
8398,8.398,A,B,278,32,4283
8430,8.43,B,A,279,15,4315
8445,8.445,A,B,280,15,4315
8460,8.46,B,A,281,41,4330
8501,8.501,A,B,282,41,4330
8542,8.542,B,A,283,23,4371
8565,8.565,A,B,284,23,4371
8588,8.588,B,A,285,41,4394
8629,8.629,A,B,286,41,4394
8670,8.67,B,A,287,33,4435
8703,8.703,A,B,288,33,4435
8736,8.736,B,A,289,36,4468
8772,8.772,A,B,290,36,4468
8808,8.808,B,A,291,12,4504
8820,8.82,A,B,292,12,4504
8832,8.832,B,A,293,34,4516
8866,8.866,A,B,294,34,4516
8900,8.9,B,A,295,38,4550
8938,8.938,A,B,296,38,4550
8976,8.976,B,A,297,13,4588
8989,8.989,A,B,298,13,4588
9002,9.002,B,A,299,16,4601
9018,9.018,A,B,300,16,4601
9034,9.034,B,A,301,40,4617
9074,9.074,A,B,302,40,4617
9114,9.114,B,A,303,35,4657
9149,9.149,A,B,304,35,4657
9184,9.184,B,A,305,13,4692
9197,9.197,A,B,306,13,4692
9210,9.21,B,A,307,19,4705
9229,9.229,A,B,308,19,4705
9248,9.248,B,A,309,15,4724
9263,9.263,A,B,310,15,4724
9278,9.278,B,A,311,32,4739
9310,9.31,A,B,312,32,4739
9342,9.342,B,A,313,25,4771
9367,9.367,A,B,314,25,4771
9392,9.392,B,A,315,20,4796
9412,9.412,A,B,316,20,4796
9432,9.432,B,A,317,50,4816
9482,9.482,A,B,318,50,4816
9532,9.532,B,A,319,49,4866
9581,9.581,A,B,320,49,4866
9630,9.63,B,A,321,38,4915
9668,9.668,A,B,322,38,4915
9706,9.706,B,A,323,21,4953
9727,9.727,A,B,324,21,4953
9748,9.748,B,A,325,25,4974
9773,9.773,A,B,326,25,4974
9798,9.798,B,A,327,48,4999
9846,9.846,A,B,328,48,4999
9894,9.894,B,A,329,18,5047
9912,9.912,A,B,330,18,5047
9930,9.93,B,A,331,14,5065
9944,9.944,A,B,332,14,5065
9958,9.958,B,A,333,49,5079
10007,10.007,A,B,334,49,5079
10056,10.056,B,A,335,40,5128
10096,10.096,A,B,336,40,5128
10136,10.136,B,A,337,50,5168
10186,10.186,A,B,338,50,5168
10236,10.236,B,A,339,50,5218
10286,10.286,A,B,340,50,5218
10336,10.336,B,A,341,14,5268
10350,10.35,A,B,342,14,5268
10364,10.364,B,A,343,12,5282
10376,10.376,A,B,344,12,5282
10388,10.388,B,A,345,23,5294
10411,10.411,A,B,346,23,5294
10434,10.434,B,A,347,33,5317
10467,10.467,A,B,348,33,5317
10500,10.5,B,A,349,15,5350
10515,10.515,A,B,350,15,5350
10530,10.53,B,A,351,17,5365
10547,10.547,A,B,352,17,5365
10564,10.564,B,A,353,41,5382
10605,10.605,A,B,354,41,5382
10646,10.646,B,A,355,40,5423
10686,10.686,A,B,356,40,5423
10726,10.726,B,A,357,32,5463
10758,10.758,A,B,358,32,5463
10790,10.79,B,A,359,10,5495
10800,10.8,A,B,360,10,5495
10810,10.81,B,A,361,17,5505
10827,10.827,A,B,362,17,5505
10844,10.844,B,A,363,39,5522
10883,10.883,A,B,364,39,5522
10922,10.922,B,A,365,27,5561
10949,10.949,A,B,366,27,5561
10976,10.976,B,A,367,10,5588
10986,10.986,A,B,368,10,5588
10996,10.996,B,A,369,19,5598
11015,11.015,A,B,370,19,5598
11034,11.034,B,A,371,47,5617
11081,11.081,A,B,372,47,5617
11128,11.128,B,A,373,37,5664
11165,11.165,A,B,374,37,5664
11202,11.202,B,A,375,47,5701
11249,11.249,A,B,376,47,5701
11296,11.296,B,A,377,14,5748
11310,11.31,A,B,378,14,5748
11324,11.324,B,A,379,12,5762
11336,11.336,A,B,380,12,5762
11348,11.348,B,A,381,18,5774
11366,11.366,A,B,382,18,5774
11384,11.384,B,A,383,44,5792
11428,11.428,A,B,384,44,5792
11472,11.472,B,A,385,12,5836
11484,11.484,A,B,386,12,5836
11496,11.496,B,A,387,30,5848
11526,11.526,A,B,388,30,5848
11556,11.556,B,A,389,50,5878
11606,11.606,A,B,390,50,5878
11656,11.656,B,A,391,10,5928
11666,11.666,A,B,392,10,5928
11676,11.676,B,A,393,16,5938
11692,11.692,A,B,394,16,5938
11708,11.708,B,A,395,13,5954
11721,11.721,A,B,396,13,5954
11734,11.734,B,A,397,36,5967
11770,11.77,A,B,398,36,5967
11806,11.806,B,A,399,47,6003
11853,11.853,A,B,400,47,6003
11900,11.9,B,A,401,22,6050
11922,11.922,A,B,402,22,6050
11944,11.944,B,A,403,45,6072
11989,11.989,A,B,404,45,6072
12034,12.034,B,A,405,40,6117
12074,12.074,A,B,406,40,6117
12114,12.114,B,A,407,31,6157
12145,12.145,A,B,408,31,6157
12176,12.176,B,A,409,34,6188
12210,12.21,A,B,410,34,6188
12244,12.244,B,A,411,25,6222
12269,12.269,A,B,412,25,6222
12294,12.294,B,A,413,37,6247
12331,12.331,A,B,414,37,6247
12368,12.368,B,A,415,24,6284
12392,12.392,A,B,416,24,6284
12416,12.416,B,A,417,24,6308
12440,12.44,A,B,418,24,6308
12464,12.464,B,A,419,23,6332
12487,12.487,A,B,420,23,6332
12510,12.51,B,A,421,26,6355
12536,12.536,A,B,422,26,6355
12562,12.562,B,A,423,36,6381
12598,12.598,A,B,424,36,6381
12634,12.634,B,A,425,44,6417
12678,12.678,A,B,426,44,6417
12722,12.722,B,A,427,14,6461
12736,12.736,A,B,428,14,6461
12750,12.75,B,A,429,50,6475
12800,12.8,A,B,430,50,6475
12850,12.85,B,A,431,13,6525
12863,12.863,A,B,432,13,6525
12876,12.876,B,A,433,22,6538
12898,12.898,A,B,434,22,6538
12920,12.92,B,A,435,45,6560
12965,12.965,A,B,436,45,6560
13010,13.01,B,A,437,18,6605
13028,13.028,A,B,438,18,6605
13046,13.046,B,A,439,24,6623
13070,13.07,A,B,440,24,6623
13094,13.094,B,A,441,29,6647
13123,13.123,A,B,442,29,6647
13152,13.152,B,A,443,15,6676
13167,13.167,A,B,444,15,6676
13182,13.182,B,A,445,50,6691
13232,13.232,A,B,446,50,6691
13282,13.282,B,A,447,14,6741
13296,13.296,A,B,448,14,6741
13310,13.31,B,A,449,44,6755
13354,13.354,A,B,450,44,6755
13398,13.398,B,A,451,40,6799
13438,13.438,A,B,452,40,6799
13478,13.478,B,A,453,31,6839
13509,13.509,A,B,454,31,6839
13540,13.54,B,A,455,10,6870
13550,13.55,A,B,456,10,6870
13560,13.56,B,A,457,47,6880
13607,13.607,A,B,458,47,6880
13654,13.654,B,A,459,12,6927
13666,13.666,A,B,460,12,6927
13678,13.678,B,A,461,10,6939
13688,13.688,A,B,462,10,6939
13698,13.698,B,A,463,47,6949
13745,13.745,A,B,464,47,6949
13792,13.792,B,A,465,40,6996
13832,13.832,A,B,466,40,6996
13872,13.872,B,A,467,48,7036
13920,13.92,A,B,468,48,7036
13968,13.968,B,A,469,33,7084
14001,14.001,A,B,470,33,7084
14034,14.034,B,A,471,26,7117
14060,14.06,A,B,472,26,7117
14086,14.086,B,A,473,37,7143
14123,14.123,A,B,474,37,7143
14160,14.16,B,A,475,48,7180
14208,14.208,A,B,476,48,7180
14256,14.256,B,A,477,27,7228
14283,14.283,A,B,478,27,7228
14310,14.31,B,A,479,20,7255
14330,14.33,A,B,480,20,7255
14350,14.35,B,A,481,40,7275
14390,14.39,A,B,482,40,7275
14430,14.43,B,A,483,15,7315
14445,14.445,A,B,484,15,7315
14460,14.46,B,A,485,45,7330
14505,14.505,A,B,486,45,7330
14550,14.55,B,A,487,35,7375
14585,14.585,A,B,488,35,7375
14620,14.62,B,A,489,19,7410
14639,14.639,A,B,490,19,7410
14658,14.658,B,A,491,43,7429
14701,14.701,A,B,492,43,7429
14744,14.744,B,A,493,45,7472
14789,14.789,A,B,494,45,7472
14834,14.834,B,A,495,46,7517
14880,14.88,A,B,496,46,7517
14926,14.926,B,A,497,18,7563
14944,14.944,A,B,498,18,7563
14962,14.962,B,A,499,22,7581
14984,14.984,A,B,500,22,7581
15006,15.006,B,A,501,46,7603
15052,15.052,A,B,502,46,7603
15098,15.098,B,A,503,30,7649
15128,15.128,A,B,504,30,7649
15158,15.158,B,A,505,28,7679
15186,15.186,A,B,506,28,7679
15214,15.214,B,A,507,27,7707
15241,15.241,A,B,508,27,7707
15268,15.268,B,A,509,30,7734
15298,15.298,A,B,510,30,7734
15328,15.328,B,A,511,31,7764
15359,15.359,A,B,512,31,7764
15390,15.39,B,A,513,26,7795
15416,15.416,A,B,514,26,7795
15442,15.442,B,A,515,47,7821
15489,15.489,A,B,516,47,7821
15536,15.536,B,A,517,26,7868
15562,15.562,A,B,518,26,7868
15588,15.588,B,A,519,11,7894
15599,15.599,A,B,520,11,7894
15610,15.61,B,A,521,43,7905
15653,15.653,A,B,522,43,7905
15696,15.696,B,A,523,23,7948
15719,15.719,A,B,524,23,7948
15742,15.742,B,A,525,17,7971
15759,15.759,A,B,526,17,7971
15776,15.776,B,A,527,12,7988
15788,15.788,A,B,528,12,7988
15800,15.8,B,A,529,43,8000
15843,15.843,A,B,530,43,8000
15886,15.886,B,A,531,27,8043
15913,15.913,A,B,532,27,8043
15940,15.94,B,A,533,41,8070
15981,15.981,A,B,534,41,8070
16022,16.022,B,A,535,34,8111
16056,16.056,A,B,536,34,8111
16090,16.09,B,A,537,18,8145
16108,16.108,A,B,538,18,8145
16126,16.126,B,A,539,36,8163
16162,16.162,A,B,540,36,8163
16198,16.198,B,A,541,50,8199
16248,16.248,A,B,542,50,8199
16298,16.298,B,A,543,26,8249
16324,16.324,A,B,544,26,8249
16350,16.35,B,A,545,34,8275
16384,16.384,A,B,546,34,8275
16418,16.418,B,A,547,10,8309
16428,16.428,A,B,548,10,8309
16438,16.438,B,A,549,49,8319
16487,16.487,A,B,550,49,8319
16536,16.536,B,A,551,36,8368
16572,16.572,A,B,552,36,8368
16608,16.608,B,A,553,18,8404
16626,16.626,A,B,554,18,8404
16644,16.644,B,A,555,19,8422
16663,16.663,A,B,556,19,8422
16682,16.682,B,A,557,34,8441
16716,16.716,A,B,558,34,8441
16750,16.75,B,A,559,29,8475
16779,16.779,A,B,560,29,8475
16808,16.808,B,A,561,38,8504
16846,16.846,A,B,562,38,8504
16884,16.884,B,A,563,41,8542
16925,16.925,A,B,564,41,8542
16966,16.966,B,A,565,23,8583
16989,16.989,A,B,566,23,8583
17012,17.012,B,A,567,50,8606
17062,17.062,A,B,568,50,8606
17112,17.112,B,A,569,17,8656
17129,17.129,A,B,570,17,8656
17146,17.146,B,A,571,22,8673
17168,17.168,A,B,572,22,8673
17190,17.19,B,A,573,44,8695
17234,17.234,A,B,574,44,8695
17278,17.278,B,A,575,17,8739
17295,17.295,A,B,576,17,8739
17312,17.312,B,A,577,49,8756
17361,17.361,A,B,578,49,8756
17410,17.41,B,A,579,45,8805
17455,17.455,A,B,580,45,8805
17500,17.5,B,A,581,37,8850
17537,17.537,A,B,582,37,8850
17574,17.574,B,A,583,23,8887
17597,17.597,A,B,584,23,8887
17620,17.62,B,A,585,50,8910
17670,17.67,A,B,586,50,8910
17720,17.72,B,A,587,35,8960
17755,17.755,A,B,588,35,8960
17790,17.79,B,A,589,45,8995
17835,17.835,A,B,590,45,8995
17880,17.88,B,A,591,21,9040
17901,17.901,A,B,592,21,9040
17922,17.922,B,A,593,47,9061
17969,17.969,A,B,594,47,9061
18016,18.016,B,A,595,43,9108
18059,18.059,A,B,596,43,9108
18102,18.102,B,A,597,38,9151
18140,18.14,A,B,598,38,9151
18178,18.178,B,A,599,35,9189
18213,18.213,A,B,600,35,9189
18248,18.248,B,A,601,30,9224
18278,18.278,A,B,602,30,9224
18308,18.308,B,A,603,44,9254
18352,18.352,A,B,604,44,9254
18396,18.396,B,A,605,20,9298
18416,18.416,A,B,606,20,9298
18436,18.436,B,A,607,20,9318
18456,18.456,A,B,608,20,9318
18476,18.476,B,A,609,28,9338
18504,18.504,A,B,610,28,9338
18532,18.532,B,A,611,50,9366
18582,18.582,A,B,612,50,9366
18632,18.632,B,A,613,47,9416
18679,18.679,A,B,614,47,9416
18726,18.726,B,A,615,41,9463
18767,18.767,A,B,616,41,9463
18808,18.808,B,A,617,23,9504
18831,18.831,A,B,618,23,9504
18854,18.854,B,A,619,26,9527
18880,18.88,A,B,620,26,9527
18906,18.906,B,A,621,48,9553
18954,18.954,A,B,622,48,9553
19002,19.002,B,A,623,22,9601
19024,19.024,A,B,624,22,9601
19046,19.046,B,A,625,18,9623
19064,19.064,A,B,626,18,9623
19082,19.082,B,A,627,45,9641
19127,19.127,A,B,628,45,9641
19172,19.172,B,A,629,49,9686
19221,19.221,A,B,630,49,9686
19270,19.27,B,A,631,21,9735
19291,19.291,A,B,632,21,9735
19312,19.312,B,A,633,49,9756
19361,19.361,A,B,634,49,9756
19410,19.41,B,A,635,20,9805
19430,19.43,A,B,636,20,9805
19450,19.45,B,A,637,10,9825
19460,19.46,A,B,638,10,9825
19470,19.47,B,A,639,17,9835
19487,19.487,A,B,640,17,9835
19504,19.504,B,A,641,47,9852
19551,19.551,A,B,642,47,9852
19598,19.598,B,A,643,28,9899
19626,19.626,A,B,644,28,9899
19654,19.654,B,A,645,36,9927
19690,19.69,A,B,646,36,9927
19726,19.726,B,A,647,21,9963
19747,19.747,A,B,648,21,9963
19768,19.768,B,A,649,48,9984
19816,19.816,A,B,650,48,9984
19864,19.864,B,A,651,31,10032
19895,19.895,A,B,652,31,10032
19926,19.926,B,A,653,20,10063
19946,19.946,A,B,654,20,10063
19966,19.966,B,A,655,25,10083
19991,19.991,A,B,656,25,10083
20016,20.016,B,A,657,30,10108
20046,20.046,A,B,658,30,10108
20076,20.076,B,A,659,50,10138
20126,20.126,A,B,660,50,10138
20176,20.176,B,A,661,21,10188
20197,20.197,A,B,662,21,10188
20218,20.218,B,A,663,23,10209
20241,20.241,A,B,664,23,10209
20264,20.264,B,A,665,26,10232
20290,20.29,A,B,666,26,10232
20316,20.316,B,A,667,40,10258
20356,20.356,A,B,668,40,10258
20396,20.396,B,A,669,38,10298
20434,20.434,A,B,670,38,10298
20472,20.472,B,A,671,48,10336
20520,20.52,A,B,672,48,10336
20568,20.568,B,A,673,45,10384
20613,20.613,A,B,674,45,10384
20658,20.658,B,A,675,32,10429
20690,20.69,A,B,676,32,10429
20722,20.722,B,A,677,12,10461
20734,20.734,A,B,678,12,10461
20746,20.746,B,A,679,13,10473
20759,20.759,A,B,680,13,10473
20772,20.772,B,A,681,39,10486
20811,20.811,A,B,682,39,10486
20850,20.85,B,A,683,16,10525
20866,20.866,A,B,684,16,10525
20882,20.882,B,A,685,33,10541
20915,20.915,A,B,686,33,10541
20948,20.948,B,A,687,37,10574
20985,20.985,A,B,688,37,10574
21022,21.022,B,A,689,10,10611
21032,21.032,A,B,690,10,10611
21042,21.042,B,A,691,16,10621
21058,21.058,A,B,692,16,10621
21074,21.074,B,A,693,45,10637
21119,21.119,A,B,694,45,10637
21164,21.164,B,A,695,48,10682
21212,21.212,A,B,696,48,10682
21260,21.26,B,A,697,40,10730
21300,21.3,A,B,698,40,10730
21340,21.34,B,A,699,23,10770
21363,21.363,A,B,700,23,10770
21386,21.386,B,A,701,27,10793
21413,21.413,A,B,702,27,10793
21440,21.44,B,A,703,33,10820
21473,21.473,A,B,704,33,10820
21506,21.506,B,A,705,37,10853
21543,21.543,A,B,706,37,10853
21580,21.58,B,A,707,31,10890
21611,21.611,A,B,708,31,10890
21642,21.642,B,A,709,17,10921
21659,21.659,A,B,710,17,10921
21676,21.676,B,A,711,10,10938
21686,21.686,A,B,712,10,10938
21696,21.696,B,A,713,22,10948
21718,21.718,A,B,714,22,10948
21740,21.74,B,A,715,14,10970
21754,21.754,A,B,716,14,10970
21768,21.768,B,A,717,34,10984
21802,21.802,A,B,718,34,10984
21836,21.836,B,A,719,41,11018
21877,21.877,A,B,720,41,11018
21918,21.918,B,A,721,40,11059
21958,21.958,A,B,722,40,11059
21998,21.998,B,A,723,36,11099
22034,22.034,A,B,724,36,11099
22070,22.07,B,A,725,11,11135
22081,22.081,A,B,726,11,11135
22092,22.092,B,A,727,35,11146
22127,22.127,A,B,728,35,11146
22162,22.162,B,A,729,50,11181
22212,22.212,A,B,730,50,11181
22262,22.262,B,A,731,46,11231
22308,22.308,A,B,732,46,11231
22354,22.354,B,A,733,33,11277
22387,22.387,A,B,734,33,11277
22420,22.42,B,A,735,50,11310
22470,22.47,A,B,736,50,11310
22520,22.52,B,A,737,48,11360
22568,22.568,A,B,738,48,11360
22616,22.616,B,A,739,34,11408
22650,22.65,A,B,740,34,11408
22684,22.684,B,A,741,31,11442
22715,22.715,A,B,742,31,11442
22746,22.746,B,A,743,28,11473
22774,22.774,A,B,744,28,11473
22802,22.802,B,A,745,27,11501
22829,22.829,A,B,746,27,11501
22856,22.856,B,A,747,14,11528
22870,22.87,A,B,748,14,11528
22884,22.884,B,A,749,29,11542
22913,22.913,A,B,750,29,11542
22942,22.942,B,A,751,22,11571
22964,22.964,A,B,752,22,11571
22986,22.986,B,A,753,16,11593
23002,23.002,A,B,754,16,11593
23018,23.018,B,A,755,19,11609
23037,23.037,A,B,756,19,11609
23056,23.056,B,A,757,22,11628
23078,23.078,A,B,758,22,11628
23100,23.1,B,A,759,44,11650
23144,23.144,A,B,760,44,11650
23188,23.188,B,A,761,32,11694
23220,23.22,A,B,762,32,11694
23252,23.252,B,A,763,12,11726
23264,23.264,A,B,764,12,11726
23276,23.276,B,A,765,17,11738
23293,23.293,A,B,766,17,11738
23310,23.31,B,A,767,48,11755
23358,23.358,A,B,768,48,11755
23406,23.406,B,A,769,50,11803
23456,23.456,A,B,770,50,11803
23506,23.506,B,A,771,50,11853
23556,23.556,A,B,772,50,11853
23606,23.606,B,A,773,26,11903
23632,23.632,A,B,774,26,11903
23658,23.658,B,A,775,25,11929
23683,23.683,A,B,776,25,11929
23708,23.708,B,A,777,10,11954
23718,23.718,A,B,778,10,11954
